"date","holiday","temp","rain_1h","clouds_all","traffic_volume","weather_main_Clear","weather_main_Clouds","weather_main_Drizzle","weather_main_Fog","weather_main_Haze","weather_main_Mist","weather_main_Rain","weather_main_Smoke","weather_main_Snow","weather_main_Thunderstorm","t"
-1.65197768302642,0,287.586,0,92,2886,0,0,0,0,0,0,1,0,0,0,2015.44383561644
-1.64923795699883,0,292.061,0,8,3095,1,0,0,0,0,0,0,0,0,0,2015.44657534247
-1.64649823097147,0.000551562707509667,293.485144422016,0.0114259395926251,83.095035287555,2904.20492852286,0.075846046638909,0.00979030102010991,0.00343521432421223,3.23131867534521e-05,0.0010395663431173,0.00332961326090198,0.884995940244882,1.85747507153167e-07,3.18373658267348e-07,0.00373160101588965,2015.44931506849
-1.64375850494412,0,296.064,0,88,2909,0,0,0,0,0,0,1,0,0,0,2015.45205479452
-1.64101877891676,0.00090208024035876,295.611737303605,0.0188982457651434,78.3019277691043,2914.6378108744,0.11688398567553,0.0160699298227303,0.00569693455763998,4.84697801301781e-05,0.00172876857215654,0.00551355649841567,0.825040025791197,2.78621261284862e-07,5.34772715128654e-07,0.00619692821450202,2015.45479452055
-1.6382790528894,0.00107735268032982,295.833210753936,0.0226423871424632,75.8619693870254,2919.85557706551,0.137798784705876,0.0192179265723262,0.00683059566203892,5.65480768185411e-05,0.00207345603816123,0.00660677977755819,0.793944361529819,3.25058138184176e-07,6.44232945786025e-07,0.00743102658798556,2015.45753424658
-1.63553932686204,0.00125262512030222,296.054684204267,0.026386528519784,73.4220110049466,2925.07334325662,0.158713583736223,0.0223659233219231,0.00796425676643819,6.46263735069041e-05,0.00241814350416547,0.00770000305670138,0.762848697268441,3.71495015194512e-07,7.536931764434e-07,0.00866512496146843,2015.4602739726
-1.63279960083446,0.00142789756027639,296.276157654598,0.0301306698971047,70.9820526228677,2930.29110944773,0.179628382766569,0.0255139200715195,0.00909791787083725,7.27046701951561e-05,0.00276283097016972,0.00879322633584367,0.731753033007064,4.17931892204848e-07,8.63153407100772e-07,0.0098992233349513,2015.46301369863
-1.6300598748071,0.00160317000024612,296.497631104929,0.0338748112744227,68.542094240789,2935.50887563883,0.200543181796914,0.0286619168211146,0.0102315789752363,8.07829668836302e-05,0.00310751843617485,0.00988644961498597,0.700657368745685,4.64368769215184e-07,9.72613637758137e-07,0.0111333217084333,2015.46575342466
-1.62732014877975,0.00177844244022118,296.71910455526,0.0376189526517425,66.1021358587103,2940.72664182994,0.22145798082726,0.0318099135707106,0.0113652400796358,8.88612635719932e-05,0.00345220590217998,0.0109796728941305,0.669561704484307,5.10805645781431e-07,1.0820738684155e-06,0.0123674200819162,2015.46849315068
